user_id,name,age,gender,region,education_level,occupation,annual_income,joint_income,business_income,property_value,loan_amount,repayment_score,fraud_flag,id_verified,document_validity,verification_date,last_transaction_date,beneficiary_count,credit_score,loan_status,timestamp
29,Ananya Nair,44,Female,Chennai,Bachelor,Farmer,1217824,1871905.0,591998,4484149,1531327,760,0,Yes,Valid,2024-01-14 14:18:44,2025-09-03 04:03:33,3,812,Approved,2023-01-01 00:28:00
30,Indira Singh,40,Female,Kolkata,Bachelor,Business Owner,1474575,,1112728,15738297,6189502,634,0,No,Pending,2023-09-14 14:26:54,2025-05-29 00:39:45,2,626,Approved,2023-01-01 00:29:00
31,Ubika Gupta,40,Female,Delhi,High School,Civil Servant,1312104,3247783.0,0,19292187,9822586,619,0,No,Expired,2022-10-06 08:46:17,2022-10-22 03:09:30,6,583,Approved,2023-01-01 00:30:00
32,Nisha Loyal,30,Female,Pune,Bachelor,IT Professional,6000000,,0,40965620,20000000,585,0,Yes,Expired,2021-05-09 03:24:55,2024-06-14 10:00:28,6,586,Approved,2023-01-01 00:31:00
33,Rhea Nath,25,Female,Mumbai,Bachelor,Nurse,3675198,,0,39180734,14548770,591,0,Yes,Valid,2021-10-13 02:17:06,2022-10-05 15:58:56,4,538,Approved,2023-01-01 00:32:00
34,Aarav Kulkarni,45,Male,Bangalore,Master,Clerk,1320946,,0,8083500,4001714,582,0,Yes,Valid,2025-08-09 18:06:13,2025-11-22 13:37:54,3,545,Approved,2023-01-01 00:33:00
35,Sanya Reddy,60,Female,Chennai,Bachelor,Farmer,5500010,,344130,50000000,16530555,612,0,Yes,Pending,2025-02-06 06:02:12,2025-09-04 17:15:57,6,638,Approved,2023-01-01 00:34:00
36,Ananya Kulkarni,23,Female,Mumbai,High School,Business Owner,4330110,1030956.0,1666238,50000000,20000000,605,0,Yes,Expired,2025-01-05 00:38:45,2025-03-13 10:07:38,6,642,Approved,2023-01-01 00:35:00
37,Tanvi Murty,58,Female,Pune,Diploma,Teacher,1586866,,0,10801783,6940291,569,0,Yes,Valid,2023-05-14 10:06:50,2024-08-13 21:14:46,2,570,Approved,2023-01-01 00:36:00
38,Jhanvi Patel,57,Female,Kolkata,Bachelor,Business Owner,2853825,1372815.0,498323,16096602,8394166,722,0,Yes,Valid,2020-04-23 13:52:52,2024-01-02 20:13:07,6,750,Approved,2023-01-01 00:37:00
39,Ishan Gupta,33,Male,Kolkata,Bachelor,Civil Servant,1556251,1220063.0,0,5786004,3502815,723,0,Yes,Valid,2023-06-01 12:54:09,2025-05-20 19:09:01,2,764,Approved,2023-01-01 00:38:00
40,Arjun Gupta,48,Male,Kolkata,Master,Business Owner,3653404,,2259047,44653519,20000000,593,0,Yes,Valid,2021-08-01 00:19:16,2021-09-12 09:37:47,5,598,Approved,2023-01-01 00:39:00
41,Gautam Loyal,28,Male,Pune,High School,IT Professional,2798840,,0,11143468,8086936,583,0,Yes,Expired,2023-10-13 19:56:11,2024-12-17 16:54:39,3,528,Rejected,2023-01-01 00:40:00
42,Nikhil Patel,54,Male,Pune,Diploma,IT Professional,1770636,922250.0,0,8808781,6486856,610,0,Yes,Valid,2024-02-02 22:31:38,2025-03-27 12:44:05,2,641,Rejected,2023-01-01 00:41:00
43,Rhea Nath,51,Female,Pune,Bachelor,Civil Servant,1178565,,0,12117864,4822102,500,0,Yes,Valid,2022-10-06 22:16:19,2024-08-17 01:29:03,3,467,Rejected,2023-01-01 00:42:00
44,Nisha Gaba,36,Female,Bangalore,High School,Clerk,2118510,,0,34723205,6419735,597,0,Yes,Valid,2021-11-13 13:19:35,2022-08-18 12:42:29,3,585,Rejected,2023-01-01 00:43:00
45,Kunal Kulkarni,23,Male,Pune,Bachelor,Farmer,2797857,,460615,33045841,16546919,431,0,Yes,Valid,2023-07-26 00:00:02,2025-11-21 11:29:55,3,457,Approved,2023-01-01 00:44:00
46,Arjun Bose,63,Male,Delhi,High School,Accountant,4192404,1404352.0,0,23703180,14538741,673,0,Yes,Valid,2024-12-21 23:25:28,2025-04-30 23:35:26,6,701,Approved,2023-01-01 00:45:00
47,Jhanvi Patel,40,Female,Mumbai,Master,Doctor,2997051,,0,30655736,14057737,453,0,No,Valid,2020-01-14 17:10:08,2025-02-07 20:36:10,3,493,Rejected,2023-01-01 00:46:00
48,Vikram Nair,60,Male,Lucknow,Diploma,Teacher,3477403,2291508.0,0,22735743,13573576,644,0,Yes,Valid,2020-03-02 08:33:17,2022-06-09 11:00:24,5,668,Approved,2023-01-01 00:47:00
49,Damini Sharma,50,Female,Delhi,Bachelor,Farmer,1502668,,219572,13875468,8652393,610,0,No,Valid,2021-12-02 22:35:13,2025-07-04 03:23:43,1,622,Rejected,2023-01-01 00:48:00
50,Tanvi Joshi,55,Female,Delhi,Bachelor,Self Employed,813861,,108321,7181702,2490461,593,0,Yes,Valid,2021-02-14 01:30:57,2025-01-12 20:25:11,0,610,Approved,2023-01-01 00:49:00
51,Dev Joshi,54,Male,Hyderabad,Diploma,Nurse,938930,,0,7133775,2970875,611,0,Yes,Expired,2024-09-19 16:45:19,2024-11-10 09:41:57,2,601,Rejected,2023-01-01 00:50:00
52,Rohit Sharma,29,Male,Lucknow,Bachelor,Engineer,1891370,,0,21767577,7649928,612,0,Yes,Valid,2020-02-11 16:10:01,2020-04-20 15:29:00,3,653,Approved,2023-01-01 00:51:00
53,Jhanvi Patel,37,Female,Jaipur,Bachelor,Engineer,1486744,,0,17730385,6568843,571,0,Yes,Valid,2025-05-31 11:39:44,2025-12-19 00:30:40,3,572,Rejected,2023-01-01 00:52:00
54,Aditya Loyal,41,Male,Ahmedabad,Master,Civil Servant,2057632,,0,26987934,16781881,300,0,Yes,Pending,2024-10-19 18:32:19,2024-11-24 23:44:52,3,300,Rejected,2023-01-01 00:53:00
55,Ubika Kapoor,42,Female,Delhi,Bachelor,Nurse,3158275,,0,30164503,13579991,529,0,Yes,Valid,2023-05-09 17:40:42,2024-07-05 21:54:53,4,547,Approved,2023-01-01 00:54:00
56,Vikram Sharma,22,Male,Pune,Bachelor,Doctor,2994823,,197364,29920574,15184044,552,0,Yes,Valid,2022-08-20 18:52:57,2025-01-30 03:26:17,3,563,Rejected,2023-01-01 00:55:00
57,Dev Iyer,45,Male,Jaipur,Bachelor,Farmer,677369,2932223.0,872575,5610331,3345140,709,0,Yes,Valid,2023-03-15 19:57:26,2023-05-25 11:27:42,5,741,Approved,2023-01-01 00:56:00
58,Harsh Bose,27,Male,Hyderabad,Bachelor,Self Employed,6000000,,694406,36815763,15107166,654,0,Yes,Valid,2024-08-21 03:56:40,2025-05-26 01:27:03,6,686,Approved,2023-01-01 00:57:00
59,Charita Patel,53,Female,Bangalore,Bachelor,Salesperson,2661178,,0,38853856,20000000,300,0,Yes,Valid,2022-07-09 20:01:42,2023-09-02 18:33:36,3,313,Rejected,2023-01-01 00:58:00
60,Charita Kulkarni,51,Female,Jaipur,High School,Teacher,2528987,,0,16684112,7768259,607,0,Yes,Valid,2021-10-18 03:50:18,2024-05-08 05:54:11,3,564,Rejected,2023-01-01 00:59:00
61,Rhea Nair,61,Female,Delhi,Bachelor,Engineer,2031745,,0,10184692,3972376,676,0,Yes,Valid,2023-09-29 20:20:44,2025-11-27 15:24:23,2,651,Rejected,2023-01-01 01:00:00
62,Kunal Patel,53,Male,Lucknow,Master,Business Owner,1902530,,1142610,33738715,6724325,610,0,Yes,Valid,2023-01-20 02:41:25,2025-03-15 16:42:06,4,625,Approved,2023-01-01 01:01:00
63,Rhea Kapoor,37,Female,Chennai,Bachelor,IT Professional,3793305,,0,46500076,13053028,540,0,Yes,Valid,2025-09-23 06:39:20,2025-10-04 17:55:40,5,556,Rejected,2023-01-01 01:02:00
64,Harsh Kapoor,63,Male,Ahmedabad,Bachelor,IT Professional,1344900,,0,8831179,4488216,599,0,Yes,Valid,2025-02-11 21:00:17,2025-04-14 06:47:40,3,626,Approved,2023-01-01 01:03:00
65,Jhanvi Gupta,39,Female,Hyderabad,Master,Farmer,2550927,,550981,15724516,4330594,666,0,Yes,Valid,2025-10-01 04:07:34,2025-11-29 11:31:04,4,713,Approved,2023-01-01 01:04:00
66,Damini Master,35,Female,Ahmedabad,Bachelor,Nurse,4669742,,0,50000000,20000000,500,0,Yes,Valid,2021-12-20 19:54:23,2024-06-17 18:56:56,6,543,Rejected,2023-01-01 01:05:00
67,Kunal Iyer,60,Male,Lucknow,Bachelor,Mechanic,2406199,,0,12519836,3979344,699,0,Yes,Valid,2025-08-08 19:26:23,2025-08-11 19:08:31,2,714,Approved,2023-01-01 01:06:00
68,Ananya Joshi,37,Female,Chennai,High School,Mechanic,2828435,,0,37384112,15199894,442,0,Yes,Valid,2022-06-09 21:28:17,2022-09-18 07:14:19,4,504,Rejected,2023-01-01 01:07:00
69,Shaurya Murty,24,Male,Bangalore,High School,Clerk,1084116,,0,5278274,3308885,627,0,Yes,Valid,2022-06-19 03:08:25,2022-07-29 23:12:34,3,640,Approved,2023-01-01 01:08:00
70,Arjun Gaba,41,Male,Mumbai,High School,Student,3308132,,0,43594481,20000000,432,0,Yes,Expired,2025-06-27 03:17:21,2025-12-07 16:46:59,4,463,Approved,2023-01-01 01:09:00
71,Rohit Mehta,56,Male,Lucknow,Bachelor,Mechanic,2632096,820582.0,0,26960096,18635279,457,0,Yes,Valid,2022-02-21 10:55:09,2025-11-15 12:30:37,4,482,Rejected,2023-01-01 01:10:00
72,Nisha Nath,29,Female,Lucknow,Bachelor,Doctor,2081257,,0,16218137,4896788,647,0,Yes,Valid,2025-11-12 20:34:59,2025-12-17 01:47:05,3,639,Approved,2023-01-01 01:11:00
73,Harsh Verma,41,Male,Pune,Master,Accountant,3139378,,0,20751240,7344511,613,0,Yes,Pending,2021-02-09 16:12:11,2022-08-26 19:34:01,4,622,Rejected,2023-01-01 01:12:00
74,Nisha Bose,26,Female,Mumbai,High School,Civil Servant,1235370,,0,12986843,9140143,490,0,Yes,Valid,2025-07-19 08:55:41,2025-12-08 17:57:02,2,532,Rejected,2023-01-01 01:13:00
75,Kunal Patel,51,Male,Jaipur,High School,Accountant,5385529,1206511.0,0,45980406,15035132,662,0,No,Valid,2023-03-12 09:45:49,2025-07-21 06:40:54,6,646,Approved,2023-01-01 01:14:00
76,Meera Chauhan,41,Female,Chennai,Bachelor,Student,6000000,,218741,50000000,13313887,664,0,Yes,Valid,2023-05-19 03:19:03,2025-02-13 15:59:47,6,662,Approved,2023-01-01 01:15:00
77,Nikhil Murty,35,Male,Bangalore,High School,Self Employed,1620212,3599532.0,329041,28077573,9630857,640,0,Yes,Valid,2021-06-22 17:27:40,2022-12-29 21:44:12,5,661,Approved,2023-01-01 01:16:00
78,Nikhil Nair,30,Male,Hyderabad,Bachelor,Self Employed,3939260,1958432.0,1065268,37686955,12777003,658,0,Yes,Valid,2020-10-15 02:53:14,2023-03-17 09:37:14,6,684,Approved,2023-01-01 01:17:00
79,Sanya Patel,45,Female,Lucknow,High School,IT Professional,2036419,,0,8097346,2460220,724,0,Yes,Valid,2020-11-20 16:59:17,2024-01-28 14:27:06,4,671,Rejected,2023-01-01 01:18:00
80,Sanya Sharma,50,Female,Ahmedabad,High School,Teacher,1182754,,0,6575866,2636916,657,0,Yes,Valid,2025-11-02 14:51:56,2025-11-07 10:54:07,3,676,Approved,2023-01-01 01:19:00
81,Aditya Reddy,62,Male,Kolkata,Bachelor,Student,4185807,,0,42729926,20000000,487,0,Yes,Valid,2020-05-30 20:07:35,2023-10-09 04:41:03,4,487,Rejected,2023-01-01 01:20:00
82,Harsh Gaba,40,Male,Ahmedabad,Bachelor,Business Owner,1898673,,326214,11964833,4785202,657,0,Yes,Valid,2021-08-17 15:04:36,2024-08-07 17:52:53,2,678,Approved,2023-01-01 01:21:00
83,Ishan Chauhan,28,Male,Jaipur,High School,Farmer,2971324,,1056516,13128796,6246320,791,0,Yes,Valid,2025-07-06 03:19:05,2025-08-02 11:11:40,5,795,Approved,2023-01-01 01:22:00
84,Rhea Patel,57,Female,Pune,Diploma,IT Professional,5687745,1733937.0,202474,46998679,20000000,639,0,No,Expired,2023-05-16 21:52:10,2025-01-11 20:17:06,6,600,Rejected,2023-01-01 01:23:00
85,Meera Gaba,48,Female,Hyderabad,Diploma,Accountant,2849082,,0,28908957,14008695,472,0,Yes,Valid,2020-05-18 01:50:54,2024-06-16 17:22:44,2,445,Rejected,2023-01-01 01:24:00
86,Meera Murty,51,Female,Mumbai,High School,Self Employed,2429061,,2028103,20954254,6817377,663,0,Yes,Valid,2023-11-10 17:53:05,2024-10-31 23:19:50,5,652,Rejected,2023-01-01 01:25:00
87,Tanvi Reddy,25,Female,Delhi,PhD,Engineer,1354063,,0,19968912,7193394,423,0,No,Valid,2021-12-27 03:23:03,2025-08-31 00:23:08,3,428,Rejected,2023-01-01 01:26:00
88,Tanvi Das,34,Female,Bangalore,Bachelor,Student,1356317,,0,10748164,6053265,523,0,Yes,Valid,2025-02-01 19:01:43,2025-09-23 22:49:27,3,559,Approved,2023-01-01 01:27:00
89,Manish Loyal,54,Male,Ahmedabad,High School,Salesperson,2044131,884107.0,0,8296837,3876549,727,0,Yes,Valid,2023-06-03 19:42:08,2024-08-28 04:38:49,3,723,Approved,2023-01-01 01:28:00
90,Arjun Gupta,57,Male,Mumbai,Bachelor,Teacher,1810484,3293070.0,0,15621433,7434343,701,0,Yes,Valid,2023-06-03 20:40:13,2025-06-29 14:29:34,5,731,Approved,2023-01-01 01:29:00
91,Sanya Gaba,40,Female,Delhi,High School,Nurse,3074610,1005325.0,0,27749666,10668374,639,0,Yes,Valid,2024-03-10 05:08:12,2024-06-20 23:20:39,4,631,Approved,2023-01-01 01:30:00
92,Kunal Das,56,Male,Lucknow,High School,Self Employed,1269517,4000000.0,508306,7320320,5321303,710,0,Yes,Expired,2023-03-29 07:19:20,2023-04-24 13:47:27,5,705,Approved,2023-01-01 01:31:00
93,Vikram Chauhan,58,Male,Chennai,Master,Farmer,1485087,,1444200,18786324,10287680,610,0,Yes,Expired,2021-06-13 21:09:35,2023-09-22 07:45:53,2,595,Rejected,2023-01-01 01:32:00
94,Nisha Sharma,38,Female,Delhi,High School,Engineer,2028481,,0,18447085,5856874,666,0,No,Expired,2025-06-28 10:21:30,2025-12-18 12:47:09,2,636,Approved,2023-01-01 01:33:00
95,Kavya Chauhan,60,Female,Jaipur,Master,Clerk,2296226,,0,31278038,10158045,467,0,Yes,Valid,2022-02-17 02:36:26,2025-09-23 18:48:21,3,487,Rejected,2023-01-01 01:34:00
96,Ananya Gupta,33,Female,Lucknow,Master,Civil Servant,2253074,,0,8308508,2282020,711,0,Yes,Expired,2020-06-17 16:44:55,2023-12-15 09:18:03,4,710,Approved,2023-01-01 01:35:00
97,Vikram Reddy,31,Male,Kolkata,Bachelor,Farmer,1984537,,176566,25473525,7252114,597,0,Yes,Valid,2021-12-31 05:24:54,2024-07-03 20:02:52,2,628,Approved,2023-01-01 01:36:00
98,Damini Joshi,51,Female,Delhi,Bachelor,Farmer,1478278,2958797.0,803104,22293198,8068211,711,0,Yes,Valid,2023-03-06 04:20:21,2025-11-26 00:00:51,6,759,Approved,2023-01-01 01:37:00
99,Dev Kapoor,49,Male,Pune,Diploma,Mechanic,2923633,2992775.0,0,34734920,9276211,716,0,Yes,Valid,2025-03-16 22:36:05,2025-11-08 00:30:26,6,783,Approved,2023-01-01 01:38:00
100,Aditya Nath,27,Male,Jaipur,Master,Accountant,3952785,,0,50000000,18658163,483,0,Yes,Valid,2022-08-18 10:51:53,2024-12-24 12:02:06,5,496,Rejected,2023-01-01 01:39:00
101,Rhea Iyer,57,Female,Lucknow,Master,Self Employed,2555465,,4754473,8686008,3682494,744,0,No,Valid,2021-10-16 21:27:47,2025-02-11 13:31:50,6,744,Approved,2023-01-01 01:40:00
102,Tanvi Nath,29,Female,Kolkata,Bachelor,Nurse,1637319,,0,13972812,5933612,561,0,Yes,Expired,2022-07-05 08:51:55,2025-01-22 04:59:23,1,567,Rejected,2023-01-01 01:41:00
103,Sanya Nair,56,Female,Lucknow,High School,Nurse,839698,1144535.0,0,10097805,2436597,683,0,No,Valid,2025-01-12 01:33:50,2025-05-10 06:06:27,1,682,Approved,2023-01-01 01:42:00
104,Sanya Master,21,Female,Jaipur,High School,Farmer,5018614,1895924.0,675520,17507913,6355398,747,0,Yes,Valid,2020-09-21 22:01:02,2021-11-19 01:02:06,6,741,Approved,2023-01-01 01:43:00
105,Charita Iyer,56,Female,Delhi,High School,Business Owner,2005137,,458803,6362365,3862121,706,0,Yes,Valid,2020-12-16 07:57:50,2020-12-18 18:46:20,2,719,Approved,2023-01-01 01:44:00
106,Kunal Gaba,55,Male,Pune,High School,Self Employed,4238056,2493701.0,539189,21504103,13250001,709,0,No,Valid,2024-08-23 21:56:50,2024-12-18 00:30:09,6,725,Approved,2023-01-01 01:45:00
107,Eshan Das,55,Male,Pune,Bachelor,Nurse,4973117,,0,19885502,10204843,611,0,Yes,Pending,2022-04-27 20:51:13,2022-06-28 12:26:20,5,637,Approved,2023-01-01 01:46:00
108,Tanvi Singh,50,Female,Ahmedabad,Master,Accountant,3270493,,0,27243100,10592385,531,0,No,Valid,2024-06-20 08:27:08,2025-08-12 15:27:05,4,551,Rejected,2023-01-01 01:47:00
109,Jhanvi Loyal,41,Female,Kolkata,Bachelor,Doctor,3527059,,0,15942359,8828884,589,0,Yes,Expired,2023-08-05 01:06:41,2025-12-08 19:09:44,5,635,Rejected,2023-01-01 01:48:00
110,Vikram Nair,52,Male,Ahmedabad,Bachelor,Farmer,3389508,1143302.0,3182138,28635693,10063378,754,0,Yes,Valid,2022-10-31 18:24:07,2023-07-30 00:02:21,6,758,Approved,2023-01-01 01:49:00
111,Rohit Loyal,33,Male,Kolkata,Bachelor,Student,1959187,,0,23276007,8121190,508,0,Yes,Valid,2023-04-01 16:13:11,2025-02-10 01:14:38,1,540,Approved,2023-01-01 01:50:00
112,Pranav Reddy,55,Male,Bangalore,Bachelor,Engineer,1232353,,0,19882489,6444645,498,0,Yes,Valid,2020-09-22 18:27:55,2023-06-20 07:17:59,3,483,Rejected,2023-01-01 01:51:00
113,Harsh Gupta,45,Male,Chennai,Bachelor,Farmer,3261241,,1042268,19333148,10753165,591,0,Yes,Valid,2023-06-17 00:59:21,2025-05-08 14:13:13,6,619,Rejected,2023-01-01 01:52:00
114,Kavya Das,41,Female,Lucknow,Master,Mechanic,1018448,,72023,4169508,1667373,765,0,Yes,Valid,2020-08-21 20:34:18,2025-04-14 07:56:17,1,779,Approved,2023-01-01 01:53:00
115,Ishan Murty,43,Male,Jaipur,Diploma,Mechanic,1798085,,0,24296997,8403940,550,0,Yes,Valid,2024-05-04 16:56:53,2025-04-13 10:45:13,1,596,Approved,2023-01-01 01:54:00
116,Dev Kulkarni,46,Male,Pune,Master,Teacher,1589318,,0,7701573,3873197,639,0,Yes,Valid,2023-09-27 14:22:03,2024-04-17 08:16:26,1,671,Approved,2023-01-01 01:55:00
117,Ananya Sharma,22,Female,Hyderabad,High School,Civil Servant,2914286,,0,41059904,18914842,388,0,Yes,Valid,2023-03-23 08:24:25,2025-05-13 06:16:08,3,386,Rejected,2023-01-01 01:56:00
118,Aarav Kapoor,27,Male,Bangalore,Bachelor,Student,2458380,,0,29699167,11499278,523,0,Yes,Valid,2025-07-29 02:05:56,2025-11-13 16:48:01,4,550,Approved,2023-01-01 01:57:00
119,Kunal Kulkarni,31,Male,Bangalore,Bachelor,Student,1587691,3376603.0,451620,26876076,7093647,643,1,Yes,Valid,2020-12-11 10:52:47,2021-10-07 07:04:54,6,630,Rejected,2023-01-01 01:58:00
120,Manish Kulkarni,26,Male,Hyderabad,Bachelor,IT Professional,1772435,,0,11600351,7533838,515,0,Yes,Valid,2025-01-21 02:00:44,2025-03-24 11:45:06,2,529,Rejected,2023-01-01 01:59:00
121,Aarav Nath,40,Male,Lucknow,Bachelor,Teacher,5825474,,0,30533046,11968944,668,0,Yes,Valid,2020-03-13 19:51:43,2024-02-09 02:29:04,5,674,Approved,2023-01-01 02:00:00
122,Pranav Joshi,50,Male,Kolkata,High School,Civil Servant,1478174,,0,23882769,8467970,383,0,Yes,Valid,2023-05-20 08:15:10,2024-07-24 01:40:57,3,377,Rejected,2023-01-01 02:01:00
123,Dev Nath,49,Male,Hyderabad,Master,Engineer,1996595,,0,32011088,6656858,506,1,No,Expired,2024-11-18 21:47:24,2025-07-21 00:36:30,2,393,Rejected,2023-01-01 02:02:00
124,Vikram Joshi,41,Male,Jaipur,Bachelor,Nurse,2922978,1270459.0,0,21984003,11666304,654,0,Yes,Valid,2020-02-24 21:41:16,2024-12-11 01:30:57,6,659,Approved,2023-01-01 02:03:00
125,Shaurya Sharma,58,Male,Hyderabad,Bachelor,Self Employed,2266660,,6928398,27655848,15102627,739,0,Yes,Valid,2023-05-06 07:40:43,2024-11-15 06:06:40,6,771,Approved,2023-01-01 02:04:00
126,Aditya Das,45,Male,Ahmedabad,Master,Engineer,2967224,1308991.0,0,11739483,6431149,716,0,Yes,Valid,2023-05-09 16:00:11,2023-08-16 10:20:59,4,751,Approved,2023-01-01 02:05:00
127,Dev Patel,24,Male,Pune,Bachelor,Business Owner,3790240,1278196.0,1031151,47763029,14789747,567,0,Yes,Valid,2022-06-08 14:21:12,2023-03-18 01:57:48,6,561,Approved,2023-01-01 02:06:00
128,Pooja Iyer,54,Female,Hyderabad,Master,Farmer,4494001,4000000.0,8000000,11872590,4110123,683,1,Yes,Valid,2021-12-15 23:00:07,2025-01-16 19:13:18,6,672,Rejected,2023-01-01 02:07:00
